Listing_Id,Posting_Date,Posting_Time,Location,Images,Bookings,Host_Type,image_bin
4955430,13/05/2019,20:18:13,San Francisco,31,10,Regular,>16images
3338094,04-01-2016,05:30:37,Amsterdam,6,48,Regular,6-10images
3132720,24/12/2018,12:26:15,Barcelona,25,10,Regular,
3196344,14/10/2014,15:09:27,Berlin,10,134,Superhost,
4588846,21/07/2016,09:26:48,Brussels,4,7,Regular,
4677052,14/05/2016,06:40:39,Kyoto,3,5,Regular,
3485608,04-04-2016,10:30:15,Madrid,7,44,Regular,
4980709,03-04-2017,09:44:58,Tokyo,12,52,Regular,
4761153,14/01/2018,15:44:54,Los Angeles,28,81,Superhost,
4991055,09-08-2017,10:26:32,Seattle,14,109,Regular,
5135019,06-01-2018,22:53:12,Mexico City,11,24,Regular,
5040928,16/01/2015,01:40:57,Milano,12,105,Regular,
3297315,05-01-2017,17:56:18,Paris,21,36,Regular,
5793190,20/12/2018,14:11:43,Osaka,2,3,Regular,
4435963,17/10/2015,01:14:07,Rio,23,234,Superhost,
3940988,28/07/2018,12:09:09,Seoul,10,51,Regular,
5433570,23/02/2019,09:22:07,Sao Paulo,10,16,Regular,
4920877,13/03/2015,02:23:16,Roma,22,71,Regular,
5008788,06-09-2017,19:14:52,Bengaluru,25,36,Regular,
5549595,20/06/2019,03:43:12,New Delhi,15,12,Regular,
4550407,28/02/2017,11:42:20,Chennai,15,32,Regular,
5228587,28/02/2017,19:40:17,Berlin,14,45,Superhost,
5645148,06-02-2016,03:04:32,Paris,3,2,Regular,
4757178,28/09/2016,16:23:09,San Jose,6,31,Regular,
4815422,13/06/2017,12:21:33,Amsterdam,16,65,Regular,
5112463,01-02-2017,17:55:46,Barcelona,17,44,Regular,
5229055,05-07-2017,13:39:12,Berlin,3,1,Regular,
5407726,26/08/2017,02:54:58,Brussels,29,52,Regular,
4321231,14/08/2017,07:41:15,Roma,25,37,Regular,
5357040,18/04/2015,19:41:56,Bengaluru,5,26,Regular,
3066317,09-12-2014,01:38:57,Madrid,29,63,Regular,
5536710,04-05-2019,10:11:43,Tokyo,7,5,Superhost,
4974509,04-08-2019,03:36:50,Los Angeles,17,4,Regular,
3738613,24/08/2016,01:53:36,Seattle,6,12,Regular,
4670882,09-12-2014,12:12:31,Mexico City,18,27,Regular,
5310098,04-07-2018,16:24:33,Los Angeles,30,13,Regular,
4781877,27/05/2018,12:45:28,Brussels,2,2,Regular,
3232877,13/02/2018,12:41:17,Roma,18,14,Regular,
3930691,19/09/2017,18:44:58,Bengaluru,24,32,Superhost,
3331911,03-02-2016,04:16:19,New Delhi,3,4,Regular,
3286764,23/12/2014,12:32:30,Mexico City,0,0,Regular,
3556292,04-12-2017,16:40:23,New Delhi,23,19,Regular,
3668383,05-08-2015,15:37:06,Chennai,2,1,Regular,
3228965,18/06/2017,05:14:02,Berlin,15,23,Regular,
5738505,25/01/2016,13:46:55,San Jose,15,52,Regular,
4121234,28/10/2018,21:37:16,Bengaluru,14,141,Superhost,
3923721,03-09-2018,20:22:35,Brussels,26,27,Regular,
5631448,12-07-2016,04:21:33,Kyoto,15,39,Regular,
5120834,04-03-2018,22:07:08,Madrid,19,18,Regular,
3304305,11-12-2018,17:30:34,Berkeley,26,10,Regular,
4814888,16/02/2017,17:40:55,Miami,24,77,Superhost,
5846631,15/11/2016,14:15:44,New York,16,65,Regular,
4431617,06-08-2017,06:43:58,New Jersey,14,54,Regular,
5215276,06-07-2019,13:36:41,Boston,26,10,Regular,
3584832,30/03/2017,20:56:56,Sydney,1,0,Regular,
4670546,17/08/2017,08:09:33,London,11,32,Regular,
5588996,20/09/2016,10:18:31,San Diego,4,6,Regular,
5910968,28/10/2017,23:06:02,Vancouver,20,82,Superhost,
4406593,29/01/2017,14:50:15,Mumbai,7,39,Regular,
4898598,30/07/2018,19:57:53,Toronto,7,21,Regular,
4041345,07-11-2018,17:28:13,Tunis,18,37,Regular,
3223962,30/11/2014,12:22:40,New Jersey,18,153,Superhost,
3708081,23/04/2018,21:35:21,Boston,9,7,Regular,
5181100,18/11/2015,22:36:25,Vancouver,11,41,Regular,
5579274,18/04/2017,11:34:50,Kyoto,3,5,Regular,
3070368,12-08-2015,15:16:32,Madrid,5,61,Regular,
3182057,02-07-2018,07:16:57,Berkeley,22,15,Regular,
4923404,08-12-2015,14:13:16,Miami,3,5,Regular,
4987597,30/10/2016,17:42:36,Seattle,0,0,Regular,
5263958,15/05/2018,00:39:29,Mexico City,31,17,Regular,
4271069,15/09/2018,12:01:17,Los Angeles,16,29,Regular,
4952753,22/12/2015,01:21:43,Toronto,3,4,Regular,
5033580,14/07/2016,17:59:40,Tunis,16,143,Superhost,
4495819,23/11/2017,18:50:35,Berkeley,26,71,Regular,
5759880,05-02-2017,22:51:09,San Francisco,7,51,Regular,
3665222,18/08/2017,21:04:43,Tunis,29,42,Regular,
4864906,28/03/2015,19:41:32,Mexico City,9,41,Regular,
5239267,15/03/2016,08:53:30,Wellington,1,0,Regular,
5169465,17/11/2018,23:10:03,Auckland,21,16,Regular,
5326043,30/09/2015,08:29:45,Shanghai,23,214,Superhost,
4186734,21/08/2016,07:23:24,Cape Town,2,1,Regular,
3909075,12-06-2015,11:49:30,Chicago,15,102,Regular,
5926894,23/08/2015,20:46:44,Cambridge,5,84,Regular,
4125329,07-11-2016,07:34:12,Mumbai,4,25,Regular,
3601833,08-11-2016,08:10:41,Toronto,3,4,Regular,
5642196,03-06-2019,21:50:22,Tunis,11,6,Regular,
4784468,27/06/2019,20:29:46,New Jersey,21,12,Regular,
3488710,05-12-2014,17:42:56,Boston,29,78,Regular,
5231208,29/09/2018,11:45:47,Vancouver,15,31,Regular,
5573943,12-01-2018,08:03:56,Brussels,27,43,Regular,
3679238,24/09/2017,09:32:57,Kyoto,0,0,Regular,
3008526,01-08-2018,11:29:17,Madrid,7,16,Regular,
5184758,24/04/2015,04:26:57,Rio,1,0,Regular,
3459239,23/09/2016,04:38:05,Amsterdam,3,1,Regular,
5160565,07-09-2017,19:32:43,Brussels,2,1,Regular,
3196270,10-05-2019,19:51:30,Los Angeles,1,0,Regular,
4622424,01-07-2016,06:02:41,Roma,19,51,Regular,
4932834,06-04-2019,07:37:18,Chicago,31,8,Regular,
4668638,29/08/2015,05:52:14,Cambridge,22,213,Superhost,
3060623,12-05-2017,06:23:10,Mexico City,8,47,Regular,
5035908,23/02/2018,08:28:21,Toronto,4,3,Regular,
3615475,28/05/2018,03:46:40,Kyoto,16,47,Regular,
3320920,24/04/2018,12:11:36,Paris,30,32,Regular,
3287918,23/02/2016,21:01:11,Brussels,17,51,Regular,
5989475,03-01-2019,12:20:09,Madrid,14,14,Regular,
3654902,27/02/2017,10:55:17,Toronto,25,32,Regular,
4456237,07-07-2019,20:06:38,San Francisco,17,8,Regular,
4543058,04-07-2017,23:51:42,Milano,14,28,Regular,
3885465,05-09-2017,05:25:55,Amsterdam,4,4,Regular,
4141064,30/12/2017,16:29:50,Boston,4,2,Regular,
5997748,22/10/2014,22:19:08,Seattle,14,86,Regular,
