Date,Open_Listings_0_2,Open_Listings_3_5,Open_Listings_6_10,Open_Listings_11_15,Open_Listings_16
08-01-2018,51918,59583,9558,28830,38364
08-02-2018,50196,67897,10820,23024,31676
08-03-2018,56239,52148,24258,34328,7342
08-04-2018,57762,67057,15148,15531,23232
08-05-2018,59221,53113,18165,18387,8486
08-06-2018,51043,66962,18485,20555,27451
08-07-2018,51408,67209,9978,5250,14283
08-08-2018,56677,61590,13495,13531,38859
08-09-2018,57704,66742,25888,30466,35611
08-10-2018,52860,56609,9717,30089,13067
08-11-2018,50923,61888,10377,26318,26939
08-12-2018,51922,66660,23345,11538,22706
08-13-2018,58363,52087,33627,9313,31431
08-14-2018,58851,65549,34365,19516,27903
08-15-2018,50124,52314,22446,31637,35145
08-16-2018,58760,69791,25206,27806,39683
08-17-2018,54208,68304,25132,28452,9576
08-18-2018,50744,61919,16093,26516,36126
08-19-2018,56778,67252,8039,16672,25703
08-20-2018,58640,61927,8711,28163,14041
08-21-2018,55250,58742,30490,9119,25130
08-22-2018,53564,54316,15635,9601,36038
08-23-2018,51224,59655,15178,14007,18051
08-24-2018,58115,69690,10508,12609,27550
08-25-2018,52673,58344,13702,10344,29115
08-26-2018,56829,58048,25159,22052,33251
08-27-2018,53533,50596,12415,17917,12800
08-28-2018,53035,54259,20894,17650,12857
08-29-2018,50789,52586,31683,23900,6143
08-30-2018,54149,51966,13863,20094,15332
08-31-2018,56787,55622,15757,17383,9198
09-01-2018,58369,52127,24832,32637,20592
09-02-2018,58740,61776,14949,20043,19993
09-03-2018,57820,56808,13416,18880,36658
09-04-2018,59769,58045,15479,12017,25267
09-05-2018,50672,62598,29988,4637,22810
09-06-2018,51256,65472,28191,9752,29518
09-07-2018,56246,64651,32392,19796,13077
09-08-2018,55474,66310,29038,15858,25695
09-09-2018,58504,59661,19347,23877,16862
09-10-2018,59296,51019,17639,22022,31051
09-11-2018,59831,60915,17123,17530,6743
09-12-2018,54119,63249,11947,10978,37495
09-13-2018,55847,61756,12749,6745,12508
09-14-2018,56826,67433,9755,24736,28292
09-15-2018,55265,65277,8687,14017,32032
09-16-2018,50598,63938,11033,30541,6933
09-17-2018,55047,51931,18310,11580,11281
09-18-2018,59688,51278,16293,6720,26612
09-19-2018,59113,55932,25753,23931,33905
09-20-2018,56737,65791,15947,6123,28352
09-21-2018,58647,63045,29262,7073,10521
09-22-2018,56023,64773,20124,4704,35725
09-23-2018,59015,52850,19036,25786,10359
09-24-2018,58066,59671,11086,31987,11189
09-25-2018,54049,67902,30107,20047,15354
09-26-2018,55541,67926,24490,11186,27794
09-27-2018,54899,59940,30931,34962,35660
09-28-2018,53378,53985,27287,32354,15809
09-29-2018,50974,62599,30292,27656,20033
09-30-2018,56600,56385,9446,34506,7277
10-01-2018,53160,63531,13589,20017,16089
10-02-2018,52832,65098,32694,7806,16644
10-03-2018,59322,62862,23734,21695,30567
10-04-2018,55951,54522,33264,15900,34087
10-05-2018,53939,55119,18335,18615,39679
10-06-2018,57008,66854,33163,23472,17599
10-07-2018,54227,67776,10578,19663,23407
10-08-2018,55860,59346,19437,9815,8080
10-09-2018,55350,50012,20741,23128,36063
10-10-2018,54994,69631,10330,14913,24781
10-11-2018,55864,63076,29454,32540,5146
10-12-2018,57303,64987,33681,27377,5351
10-13-2018,58791,50349,33046,5614,17086
10-14-2018,54292,55015,26201,10391,10264
10-15-2018,53837,57033,10282,6903,5739
10-16-2018,55912,59785,11908,10627,35430
10-17-2018,56314,50881,30817,16314,8104
10-18-2018,59164,66097,26649,12585,17848
10-19-2018,59929,65985,9343,4024,22598
10-20-2018,59476,58420,33726,12970,18119
10-21-2018,54437,68989,7819,14101,24123
10-22-2018,56876,65295,26651,12804,37658
10-23-2018,58347,53672,33827,27897,5171
10-24-2018,51887,50051,30277,18137,14551
10-25-2018,58768,56597,8061,25487,18902
10-26-2018,53241,61786,33401,24324,30847
10-27-2018,59674,58834,18494,5869,34174
10-28-2018,58693,50115,34593,12987,18827
10-29-2018,50306,60960,30786,32747,19052
10-30-2018,59822,58775,19620,5639,33721
10-31-2018,53245,58830,18378,18593,31505
11-01-2018,53611,58188,18666,32566,24655
11-02-2018,57442,63729,10913,32582,38825
11-03-2018,55234,57217,26444,6177,12244
11-04-2018,52840,53632,8570,24338,31218
11-05-2018,53768,67254,22497,19009,5383
11-06-2018,57260,63296,28041,16385,24876
11-07-2018,52084,57093,33199,8378,18105
11-08-2018,52229,54114,19184,33495,18424
11-09-2018,53746,60735,30212,14146,16041
11-10-2018,56046,54086,15536,22732,8646
11-11-2018,59246,59892,8193,16000,31346
11-12-2018,50405,61317,32493,10113,22022
11-13-2018,55024,52817,11116,21066,7188
11-14-2018,51617,58277,27629,11034,22262
11-15-2018,56426,56723,30329,12045,36982
11-16-2018,51109,69286,30011,32756,18362
11-17-2018,57908,54875,23161,7317,37763
11-18-2018,59494,60399,24618,24541,16932
11-19-2018,54275,65300,29884,14831,34045
11-20-2018,57663,53033,19941,11689,26647
11-21-2018,57607,66223,8769,14035,12506
11-22-2018,50791,63299,22386,5904,15744
11-23-2018,58630,56017,22288,24471,35089
11-24-2018,52042,55350,11922,20534,17797
11-25-2018,54768,50937,18407,9870,9112
11-26-2018,52221,65166,14391,8412,35533
11-27-2018,51945,62445,24982,34355,37387
11-28-2018,56654,61406,8456,20942,31839
11-29-2018,53498,54191,15441,9409,35824
11-30-2018,57606,51622,24144,16748,25087
12-01-2018,58409,64781,34642,26121,28862
12-02-2018,58288,68484,10616,25640,19537
12-03-2018,56643,51267,27036,24558,36951
12-04-2018,55894,64331,7883,11698,19457
12-05-2018,51816,66151,20140,26136,17150
12-06-2018,56425,59698,13835,33311,31994
12-07-2018,58945,50388,21764,13320,36577
12-08-2018,52858,68132,12769,13665,7389
