ride_id,user_id,ride_type,distance_km,duration_min,fare_amount,tip_amount,pickup_area,dropoff_area,user_rating,payment_method,user_type,surge_multiplier,feedback
RIDE1000,USER2000,Shared,6.85,58.72,257.55,10.0,Suburb,Suburb,2,UPI,New,1.89,
RIDE1001,USER2001,,12.99,15.8,113.77,0.0,Suburb,Industrial,4,,,1.53,
RIDE1002,USER2002,Standard,22.8,21.01,141.85,0.0,Suburb,Suburb,2,UPI,New,2.06,Good
RIDE1003,USER2003,Shared,11.97,24.39,257.99,15.0,Airport,Uptown,2,,New,1.72,Good
RIDE1004,USER2004,Shared,10.61,10.81,139.86,10.0,Airport,Airport,3,Card,,1.57,
RIDE1005,USER2005,,7.42,35.42,303.8,10.0,Airport,Uptown,2,,New,2.06,
RIDE1006,USER2006,Standard,7.0,34.04,305.39,,Uptown,Industrial,1,Cash,,1.37,Bad
RIDE1007,USER2007,Standard,14.74,25.19,304.42,10.0,,Suburb,5,Wallet,New,1.5,Average
RIDE1008,USER2008,Shared,11.46,19.66,133.95,10.0,Suburb,Suburb,5,,New,1.65,Bad
RIDE1009,USER2009,Premium,6.82,10.05,205.77,10.0,Suburb,,4,,Loyal,1.38,Good
RIDE1010,USER2010,Shared,4.89,17.11,162.99,5.0,Uptown,Suburb,2,Wallet,Loyal,1.61,Good
RIDE1011,USER2011,Shared,9.19,32.44,269.24,,Suburb,,1,Cash,,1.86,Good
RIDE1012,USER2012,Shared,7.33,22.88,328.0,0.0,Airport,Airport,4,UPI,Loyal,2.11,Good
RIDE1013,USER2013,Shared,9.97,20.73,265.52,15.0,,Industrial,3,,,2.15,
RIDE1014,USER2014,,8.85,30.01,200.69,0.0,Industrial,,4,Wallet,Loyal,2.23,Good
RIDE1015,USER2015,Standard,11.95,36.58,172.58,,Suburb,Airport,4,Card,New,2.12,
RIDE1016,USER2016,,3.67,27.57,248.68,15.0,Airport,Suburb,2,Wallet,,2.02,
RIDE1017,USER2017,,15.46,28.15,108.28,,Industrial,Suburb,3,Card,,1.36,Good
RIDE1018,USER2018,,23.89,38.72,240.23,10.0,,Airport,4,Cash,New,1.6,Good
RIDE1019,USER2019,Shared,15.97,26.76,131.4,15.0,Industrial,Suburb,1,UPI,,1.72,Average
RIDE1020,USER2020,Premium,11.09,21.91,246.54,10.0,Airport,Airport,1,Wallet,,1.12,Bad
RIDE1021,USER2021,Standard,14.41,31.73,187.93,0.0,Industrial,,5,,Loyal,1.79,Good
RIDE1022,USER2022,Premium,4.95,22.43,170.88,0.0,Uptown,,3,Cash,,1.65,Average
RIDE1023,USER2023,,2.08,21.32,133.59,15.0,Industrial,Airport,3,Wallet,New,2.2,Average
RIDE1024,USER2024,,13.87,37.74,173.24,15.0,Suburb,,5,,Loyal,2.47,Bad
RIDE1025,USER2025,Premium,7.31,22.08,241.71,,Suburb,,4,Wallet,Loyal,1.83,
RIDE1026,USER2026,Premium,3.27,-1.55,278.29,,Uptown,,3,Card,New,1.48,Good
RIDE1027,USER2027,Premium,5.6,28.46,239.48,10.0,Airport,Uptown,1,Wallet,New,1.07,Bad
RIDE1028,USER2028,,4.35,21.04,302.29,15.0,Suburb,Industrial,1,Wallet,Loyal,2.39,Good
RIDE1029,USER2029,,10.67,22.11,390.44,0.0,,Suburb,2,Wallet,,2.38,Average
RIDE1030,USER2030,Standard,12.91,29.53,175.66,,Suburb,Uptown,3,Cash,Loyal,1.38,Average
RIDE1031,USER2031,Standard,14.44,23.34,184.56,,Suburb,,4,Wallet,New,2.04,
RIDE1032,USER2032,,14.47,27.15,92.0,0.0,Airport,Airport,5,,Loyal,1.11,Average
RIDE1033,USER2033,Premium,13.77,4.78,289.3,,Industrial,,5,Card,New,1.25,Average
RIDE1034,USER2034,Premium,8.96,15.57,297.45,10.0,Suburb,Industrial,4,Card,Loyal,1.33,Bad
RIDE1035,USER2035,Standard,6.88,39.04,134.96,15.0,Uptown,,2,Wallet,,1.44,Good
RIDE1036,USER2036,,2.46,24.81,246.32,0.0,Industrial,Airport,5,Cash,Loyal,2.49,Good
RIDE1037,USER2037,Standard,15.5,8.26,291.28,15.0,,Industrial,3,Cash,Loyal,2.05,Bad
RIDE1038,USER2038,Standard,9.11,14.27,216.97,,Airport,,2,,New,1.58,
RIDE1039,USER2039,Shared,7.95,15.07,263.56,,,Industrial,3,Wallet,New,2.11,Good
RIDE1040,USER2040,Shared,15.9,26.02,213.11,0.0,Industrial,Suburb,1,Card,New,2.37,Average
RIDE1041,USER2041,Shared,5.51,20.67,108.74,10.0,Industrial,Suburb,2,Cash,Loyal,2.44,Good
RIDE1042,USER2042,Premium,14.17,18.41,278.7,5.0,Industrial,,5,Wallet,,1.09,Average
RIDE1043,USER2043,,11.48,25.04,299.38,0.0,,Industrial,2,Cash,New,1.59,
RIDE1044,USER2044,,4.81,29.78,255.09,5.0,Industrial,Airport,2,Cash,New,1.16,Bad
RIDE1045,USER2045,,9.62,22.41,128.41,5.0,,,2,Card,Loyal,1.5,Good
RIDE1046,USER2046,,14.86,19.25,143.66,10.0,Industrial,Suburb,2,UPI,New,1.25,Bad
RIDE1047,USER2047,Shared,13.98,20.79,115.22,5.0,Uptown,Suburb,3,,,1.97,Good
RIDE1048,USER2048,Premium,17.48,28.4,257.75,5.0,Industrial,,1,,,1.58,Average
RIDE1049,USER2049,Premium,11.69,24.93,295.13,10.0,,Industrial,4,Card,New,1.34,Bad
